Date ,Decade,Province,City,Incident,Killed ,Injured,Government,President
1/14/2009,2000,Balochistan,Quetta,Target killing,4,0,Democratic,Asif Zardari
1/26/2009,2000,KPK,D.I. Khan,Target killing,5,0,Democratic,Asif Zardari
1/26/2009,2000,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
02/01/2009,2000,KPK,Hangu,Target killing,17,30,Democratic,Asif Zardari
02/05/2009,2000,Punjab,D.G. Khan,Attack,35,50,Democratic,Asif Zardari
2/19/2009,2000,FATA,Kurram agency,Attack,6,0,Democratic,Asif Zardari
2/20/2009,2000,KPK,D.I. Khan,Attack,40,157,Democratic,Asif Zardari
2/21/2009,2000,KPK,D.I. Khan,Attack,2,5,Democratic,Asif Zardari
2/24/2009,2000,KPK,Hangu,Attack,1,14,Democratic,Asif Zardari
2/24/2009,2000,Balochistan,Quetta,Attack,5,0,Democratic,Asif Zardari
2/27/2009,2000,KPK,Hangu,Attack,3,6,Democratic,Asif Zardari
03/02/2009,2000,Balochistan,Pishin,Attack,5,12,Democratic,Asif Zardari
03/03/2009,2000,Balochistan,Quetta,Attack,5,0,Democratic,Asif Zardari
03/03/2009,2000,Balochistan,Quetta,Attack,5,0,Democratic,Asif Zardari
03/09/2009,2000,Balochistan,Quetta,Attack,2,0,Democratic,Asif Zardari
3/14/2009,2000,KPK,D.I. Khan,Target killing,3,0,Democratic,Asif Zardari
3/21/2009,2000,KPK,D.I. Khan,Target killing,2,0,Democratic,Asif Zardari
04/05/2009,2000,Punjab,Chakwal,Attack,30,150,Democratic,Asif Zardari
5/25/2009,2000,KPK,D.I. Khan,Attack,3,0,Democratic,Asif Zardari
06/07/2009,2000,KPK,D.I. Khan,Target killing,2,0,Democratic,Asif Zardari
6/22/2009,2000,Balochistan,Quetta,Target killing,3,0,Democratic,Asif Zardari
07/06/2009,2000,KPK,D.I. Khan,Target killing,4,0,Democratic,Asif Zardari
09/06/2009,2000,Sindh,Mirpur Khas,Target killing,1,0,Democratic,Asif Zardari
09/08/2009,2000,FATA,Orakzai Agency ,Attack,4,3,Democratic,Asif Zardari
9/18/2009,2000,KPK,Pishin,Attack,33,70,Democratic,Asif Zardari
9/19/2009,2000,FATA,Katcha Pakka Kohat,Attack,42,0,Democratic,Asif Zardari
9/30/2009,2000,FATA,Parachinar,Attack,8,0,Democratic,Asif Zardari
9/30/2009,2000,Gilgit-Baltistan,Gilgit,Attack,4,0,Democratic,Asif Zardari
12/27/2009,2000,Azad Kashmir,Muzaffarabad,Attack,15,0,Democratic,Asif Zardari
12/28/2009,2000,Sindh,Karachi,Attack,43,36,Democratic,Asif Zardari
1/29/2010,2010,Balochistan,Quetta,Attack,3,0,Democratic,Asif Zardari
02/05/2010,2010,Sindh,Karachi,Attack,25,50,Democratic,Asif Zardari
03/05/2010,2010,FATA,Kurram agency,Attack,14,0,Democratic,Asif Zardari
3/20/2010,2010,Balochistan,Quetta,Attack,4,0,Democratic,Asif Zardari
3/27/2010,2010,FATA,Kurram agency,Target killing,6,0,Democratic,Asif Zardari
4/16/2010,2010,Balochistan,Quetta,Attack,11,35,Democratic,Asif Zardari
4/17/2010,2010,KPK,Kohat,Target killing,44,70,Democratic,Asif Zardari
5/15/2010,2010,FATA,Kurram agency,Attack,0,60,Democratic,Asif Zardari
5/24/2010,2010,Balochistan,Quetta,Target killing,2,15,Democratic,Asif Zardari
5/28/2010,2010,Balochistan,Quetta,Target killing,5,0,Democratic,Asif Zardari
6/21/2010,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
6/28/2010,2010,Sindh,Karachi,Target killing,6,0,Democratic,Asif Zardari
07/10/2010,2010,FATA,Kurram agency,Attack,11,0,Democratic,Asif Zardari
7/16/2010,2010,FATA,Kurram agency,Attack,18,0,Democratic,Asif Zardari
7/18/2010,2010,Punjab,Sargodha,Attack,6,20,Democratic,Asif Zardari
08/04/2010,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
8/16/2010,2010,Sindh,Karachi,Attack,4,0,Democratic,Asif Zardari
09/01/2010,2010,Punjab,Lahore,Attack,43,230,Democratic,Asif Zardari
09/02/2010,2010,Balochistan,Turbat,Attack,2,8,Democratic,Asif Zardari
09/04/2010,2010,Balochistan,Quetta,Attack,73,149,Democratic,Asif Zardari
9/21/2010,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
12/08/2010,2010,KPK,Kohat,Attack,20,32,Democratic,Asif Zardari
12/10/2010,2010,KPK,Hangu,Attack,17,20,Democratic,Asif Zardari
12/12/2010,2010,FATA,Kurram agency,Target killing,3,10,Democratic,Asif Zardari
01/04/2011,2010,KPK,D.I. Khan,Target killing,2,0,Democratic,Asif Zardari
01/08/2011,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/25/2011,2010,Punjab,Lahore,Attack,15,76,Democratic,Asif Zardari
1/29/2011,2010,Balochistan,Quetta,Attack,3,0,Democratic,Asif Zardari
3/13/2011,2010,KPK,Hangu,Attack,13,6,Democratic,Asif Zardari
3/20/2011,2010,FATA,Kurram agency,Target killing,9,0,Democratic,Asif Zardari
3/25/2011,2010,FATA,Kurram agency,Attack,18,0,Democratic,Asif Zardari
04/03/2011,2010,Punjab,D.G. Khan,Attack,41,0,Democratic,Asif Zardari
04/03/2011,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
4/20/2011,2010,Sindh,Karachi,Attack,3,0,Democratic,Asif Zardari
05/06/2011,2010,Balochistan,Quetta,Target killing,8,0,Democratic,Asif Zardari
5/18/2011,2010,Balochistan,Quetta,Attack,7,4,Democratic,Asif Zardari
5/21/2011,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
5/25/2011,2010,FATA,Balishkhel,Attack,3,18,Democratic,Asif Zardari
5/29/2011,2010,Balochistan,Quetta,Target killing,2,3,Democratic,Asif Zardari
6/16/2011,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
6/22/2011,2010,Balochistan,Quetta,Attack,4,11,Democratic,Asif Zardari
07/10/2011,2010,Balochistan,Quetta,Attack,3,0,Democratic,Asif Zardari
7/23/2011,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
7/24/2011,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
7/24/2011,2010,FATA,Kurram agency,Target killing,2,0,Democratic,Asif Zardari
7/29/2011,2010,Balochistan,Quetta,Attack,7,0,Democratic,Asif Zardari
7/30/2011,2010,Balochistan,Quetta,Attack,11,0,Democratic,Asif Zardari
